Path 1,lo0305_reg/clk,lo1260_reg/d,269
R,unmapped_d_flop,12,8.4,68,0
F,unmapped_complex2,3,2.1,11,0
R,unmapped_complex2,1,0.7,7,0
F,unmapped_nand2,1,0.7,7,0
F,unmapped_complex2,1,0.7,7,0
F,unmapped_complex2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
F,unmapped_complex2,3,2.1,11,0
R,unmapped_nand2,1,0.7,7,0
F,unmapped_complex2,1,0.7,7,0
R,unmapped_nand2,1,0.7,7,0
F,unmapped_complex2,1,0.7,7,0
F,unmapped_complex2,1,0.7,7,0
R,unmapped_nand2,2,1.4,9,0
R,unmapped_or2,1,0.7,7,0
F,unmapped_complex2,2,1.4,9,0
R,unmapped_complex2,1,0.7,7,0
R,unmapped_complex2,34,4.2,21,0
F,unmapped_nand2,11,7.7,20,0
R,unmapped_nand2,2,1.4,9,0
R,unmapped_complex2,1,0.7,7,0
F,unmapped_nand2,1,0.7,7,0
R,unmapped_nand2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
R,unmapped_d_flop,1,-,0,-
Path 2,lo0305_reg/clk,lo1258_reg/d,269
R,unmapped_d_flop,12,8.4,68,0
F,unmapped_complex2,3,2.1,11,0
R,unmapped_complex2,1,0.7,7,0
F,unmapped_nand2,1,0.7,7,0
F,unmapped_complex2,1,0.7,7,0
F,unmapped_complex2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
F,unmapped_complex2,3,2.1,11,0
R,unmapped_nand2,1,0.7,7,0
F,unmapped_complex2,1,0.7,7,0
R,unmapped_nand2,1,0.7,7,0
F,unmapped_complex2,1,0.7,7,0
F,unmapped_complex2,1,0.7,7,0
R,unmapped_nand2,2,1.4,9,0
R,unmapped_or2,1,0.7,7,0
F,unmapped_complex2,2,1.4,9,0
R,unmapped_complex2,1,0.7,7,0
R,unmapped_complex2,34,4.2,21,0
F,unmapped_nand2,11,7.7,20,0
R,unmapped_nand2,2,1.4,9,0
R,unmapped_complex2,1,0.7,7,0
F,unmapped_nand2,1,0.7,7,0
R,unmapped_nand2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
R,unmapped_d_flop,1,-,0,-
Path 3,lo0305_reg/clk,lo1256_reg/d,269
R,unmapped_d_flop,12,8.4,68,0
F,unmapped_complex2,3,2.1,11,0
R,unmapped_complex2,1,0.7,7,0
F,unmapped_nand2,1,0.7,7,0
F,unmapped_complex2,1,0.7,7,0
F,unmapped_complex2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
F,unmapped_complex2,3,2.1,11,0
R,unmapped_nand2,1,0.7,7,0
F,unmapped_complex2,1,0.7,7,0
R,unmapped_nand2,1,0.7,7,0
F,unmapped_complex2,1,0.7,7,0
F,unmapped_complex2,1,0.7,7,0
R,unmapped_nand2,2,1.4,9,0
R,unmapped_or2,1,0.7,7,0
F,unmapped_complex2,2,1.4,9,0
R,unmapped_complex2,1,0.7,7,0
R,unmapped_complex2,34,4.2,21,0
F,unmapped_nand2,11,7.7,20,0
R,unmapped_nand2,2,1.4,9,0
R,unmapped_complex2,1,0.7,7,0
F,unmapped_nand2,1,0.7,7,0
R,unmapped_nand2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
R,unmapped_d_flop,1,-,0,-
Path 4,lo1102_reg/clk,lo1207_reg/d,269
F,unmapped_d_flop,9,6.3,66,0
R,unmapped_nand2,5,3.5,14,0
R,unmapped_complex2,5,3.5,14,0
R,unmapped_or2,2,1.4,9,0
R,unmapped_or2,2,1.4,9,0
F,unmapped_nand2,2,1.4,9,0
F,unmapped_or2,1,0.7,7,0
R,unmapped_complex2,4,2.8,13,0
F,unmapped_complex2,5,3.5,14,0
F,unmapped_or2,5,3.5,14,0
F,unmapped_or2,5,3.5,14,0
F,unmapped_or2,5,3.5,14,0
F,unmapped_or2,5,3.5,14,0
F,unmapped_or2,5,3.5,14,0
F,unmapped_or2,4,2.8,13,0
F,unmapped_complex2,2,1.4,9,0
F,unmapped_or2,1,0.7,7,0
R,unmapped_nand2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
R,unmapped_d_flop,1,-,0,-
Path 5,lo0305_reg/clk,lo1264_reg/d,267
F,unmapped_d_flop,12,8.4,68,0
R,unmapped_complex2,3,2.1,11,0
F,unmapped_complex2,1,0.7,7,0
R,unmapped_nand2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
F,unmapped_complex2,1,0.7,7,0
R,unmapped_complex2,3,2.1,11,0
F,unmapped_nand2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
F,unmapped_nand2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
F,unmapped_nand2,2,1.4,9,0
F,unmapped_or2,1,0.7,7,0
R,unmapped_complex2,2,1.4,9,0
F,unmapped_complex2,1,0.7,7,0
F,unmapped_complex2,34,4.2,21,0
R,unmapped_nand2,11,7.7,20,0
F,unmapped_nand2,15,10.5,22,0
F,unmapped_or2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
R,unmapped_d_flop,1,-,0,-
Path 6,lo0305_reg/clk,lo1263_reg/d,267
F,unmapped_d_flop,12,8.4,68,0
R,unmapped_complex2,3,2.1,11,0
F,unmapped_complex2,1,0.7,7,0
R,unmapped_nand2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
F,unmapped_complex2,1,0.7,7,0
R,unmapped_complex2,3,2.1,11,0
F,unmapped_nand2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
F,unmapped_nand2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
F,unmapped_nand2,2,1.4,9,0
F,unmapped_or2,1,0.7,7,0
R,unmapped_complex2,2,1.4,9,0
F,unmapped_complex2,1,0.7,7,0
F,unmapped_complex2,34,4.2,21,0
R,unmapped_nand2,11,7.7,20,0
F,unmapped_nand2,15,10.5,22,0
F,unmapped_or2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
R,unmapped_d_flop,1,-,0,-
Path 7,lo0305_reg/clk,lo1262_reg/d,267
F,unmapped_d_flop,12,8.4,68,0
R,unmapped_complex2,3,2.1,11,0
F,unmapped_complex2,1,0.7,7,0
R,unmapped_nand2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
F,unmapped_complex2,1,0.7,7,0
R,unmapped_complex2,3,2.1,11,0
F,unmapped_nand2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
F,unmapped_nand2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
F,unmapped_nand2,2,1.4,9,0
F,unmapped_or2,1,0.7,7,0
R,unmapped_complex2,2,1.4,9,0
F,unmapped_complex2,1,0.7,7,0
F,unmapped_complex2,34,4.2,21,0
R,unmapped_nand2,11,7.7,20,0
F,unmapped_nand2,15,10.5,22,0
F,unmapped_or2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
R,unmapped_d_flop,1,-,0,-
Path 8,lo0305_reg/clk,lo1261_reg/d,267
F,unmapped_d_flop,12,8.4,68,0
R,unmapped_complex2,3,2.1,11,0
F,unmapped_complex2,1,0.7,7,0
R,unmapped_nand2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
F,unmapped_complex2,1,0.7,7,0
R,unmapped_complex2,3,2.1,11,0
F,unmapped_nand2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
F,unmapped_nand2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
F,unmapped_nand2,2,1.4,9,0
F,unmapped_or2,1,0.7,7,0
R,unmapped_complex2,2,1.4,9,0
F,unmapped_complex2,1,0.7,7,0
F,unmapped_complex2,34,4.2,21,0
R,unmapped_nand2,11,7.7,20,0
F,unmapped_nand2,15,10.5,22,0
F,unmapped_or2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
R,unmapped_d_flop,1,-,0,-
Path 9,lo0305_reg/clk,lo1259_reg/d,267
F,unmapped_d_flop,12,8.4,68,0
R,unmapped_complex2,3,2.1,11,0
F,unmapped_complex2,1,0.7,7,0
R,unmapped_nand2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
F,unmapped_complex2,1,0.7,7,0
R,unmapped_complex2,3,2.1,11,0
F,unmapped_nand2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
F,unmapped_nand2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
F,unmapped_nand2,2,1.4,9,0
F,unmapped_or2,1,0.7,7,0
R,unmapped_complex2,2,1.4,9,0
F,unmapped_complex2,1,0.7,7,0
F,unmapped_complex2,34,4.2,21,0
R,unmapped_nand2,11,7.7,20,0
F,unmapped_nand2,15,10.5,22,0
F,unmapped_or2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
R,unmapped_d_flop,1,-,0,-
Path 10,lo0305_reg/clk,lo1257_reg/d,267
F,unmapped_d_flop,12,8.4,68,0
R,unmapped_complex2,3,2.1,11,0
F,unmapped_complex2,1,0.7,7,0
R,unmapped_nand2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
F,unmapped_complex2,1,0.7,7,0
R,unmapped_complex2,3,2.1,11,0
F,unmapped_nand2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
F,unmapped_nand2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
F,unmapped_nand2,2,1.4,9,0
F,unmapped_or2,1,0.7,7,0
R,unmapped_complex2,2,1.4,9,0
F,unmapped_complex2,1,0.7,7,0
F,unmapped_complex2,34,4.2,21,0
R,unmapped_nand2,11,7.7,20,0
F,unmapped_nand2,15,10.5,22,0
F,unmapped_or2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
R,unmapped_d_flop,1,-,0,-
Path 11,lo0305_reg/clk,lo1255_reg/d,267
F,unmapped_d_flop,12,8.4,68,0
R,unmapped_complex2,3,2.1,11,0
F,unmapped_complex2,1,0.7,7,0
R,unmapped_nand2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
F,unmapped_complex2,1,0.7,7,0
R,unmapped_complex2,3,2.1,11,0
F,unmapped_nand2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
F,unmapped_nand2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
F,unmapped_nand2,2,1.4,9,0
F,unmapped_or2,1,0.7,7,0
R,unmapped_complex2,2,1.4,9,0
F,unmapped_complex2,1,0.7,7,0
F,unmapped_complex2,34,4.2,21,0
R,unmapped_nand2,11,7.7,20,0
F,unmapped_nand2,15,10.5,22,0
F,unmapped_or2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
R,unmapped_d_flop,1,-,0,-
Path 12,lo0305_reg/clk,lo1254_reg/d,267
F,unmapped_d_flop,12,8.4,68,0
R,unmapped_complex2,3,2.1,11,0
F,unmapped_complex2,1,0.7,7,0
R,unmapped_nand2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
F,unmapped_complex2,1,0.7,7,0
R,unmapped_complex2,3,2.1,11,0
F,unmapped_nand2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
F,unmapped_nand2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
F,unmapped_nand2,2,1.4,9,0
F,unmapped_or2,1,0.7,7,0
R,unmapped_complex2,2,1.4,9,0
F,unmapped_complex2,1,0.7,7,0
F,unmapped_complex2,34,4.2,21,0
R,unmapped_nand2,11,7.7,20,0
F,unmapped_nand2,15,10.5,22,0
F,unmapped_or2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
R,unmapped_d_flop,1,-,0,-
Path 13,lo0305_reg/clk,lo1253_reg/d,267
F,unmapped_d_flop,12,8.4,68,0
R,unmapped_complex2,3,2.1,11,0
F,unmapped_complex2,1,0.7,7,0
R,unmapped_nand2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
F,unmapped_complex2,1,0.7,7,0
R,unmapped_complex2,3,2.1,11,0
F,unmapped_nand2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
F,unmapped_nand2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
F,unmapped_nand2,2,1.4,9,0
F,unmapped_or2,1,0.7,7,0
R,unmapped_complex2,2,1.4,9,0
F,unmapped_complex2,1,0.7,7,0
F,unmapped_complex2,34,4.2,21,0
R,unmapped_nand2,11,7.7,20,0
F,unmapped_nand2,15,10.5,22,0
F,unmapped_or2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
R,unmapped_d_flop,1,-,0,-
Path 14,lo0305_reg/clk,lo1252_reg/d,267
F,unmapped_d_flop,12,8.4,68,0
R,unmapped_complex2,3,2.1,11,0
F,unmapped_complex2,1,0.7,7,0
R,unmapped_nand2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
F,unmapped_complex2,1,0.7,7,0
R,unmapped_complex2,3,2.1,11,0
F,unmapped_nand2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
F,unmapped_nand2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
F,unmapped_nand2,2,1.4,9,0
F,unmapped_or2,1,0.7,7,0
R,unmapped_complex2,2,1.4,9,0
F,unmapped_complex2,1,0.7,7,0
F,unmapped_complex2,34,4.2,21,0
R,unmapped_nand2,11,7.7,20,0
F,unmapped_nand2,15,10.5,22,0
F,unmapped_or2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
R,unmapped_d_flop,1,-,0,-
Path 15,lo0305_reg/clk,lo1251_reg/d,267
F,unmapped_d_flop,12,8.4,68,0
R,unmapped_complex2,3,2.1,11,0
F,unmapped_complex2,1,0.7,7,0
R,unmapped_nand2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
F,unmapped_complex2,1,0.7,7,0
R,unmapped_complex2,3,2.1,11,0
F,unmapped_nand2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
F,unmapped_nand2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
F,unmapped_nand2,2,1.4,9,0
F,unmapped_or2,1,0.7,7,0
R,unmapped_complex2,2,1.4,9,0
F,unmapped_complex2,1,0.7,7,0
F,unmapped_complex2,34,4.2,21,0
R,unmapped_nand2,11,7.7,20,0
F,unmapped_nand2,15,10.5,22,0
F,unmapped_or2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
R,unmapped_d_flop,1,-,0,-
Path 16,lo0305_reg/clk,lo1250_reg/d,267
F,unmapped_d_flop,12,8.4,68,0
R,unmapped_complex2,3,2.1,11,0
F,unmapped_complex2,1,0.7,7,0
R,unmapped_nand2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
F,unmapped_complex2,1,0.7,7,0
R,unmapped_complex2,3,2.1,11,0
F,unmapped_nand2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
F,unmapped_nand2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
R,unmapped_complex2,1,0.7,7,0
F,unmapped_nand2,2,1.4,9,0
F,unmapped_or2,1,0.7,7,0
R,unmapped_complex2,2,1.4,9,0
